X_ext,Y_ext,X_int,Y_int,X_central,Y_central
91.0,61.0,81.0,57.0,81.0,34.0
91.0,61.0,81.0,57.0,81.0,34.0
91.0,61.0,81.0,56.0,81.0,34.0
91.0,61.0,81.0,56.0,82.0,36.0
92.0,59.0,81.0,56.0,82.0,36.0
92.0,59.0,81.0,56.0,82.0,36.0
92.0,59.0,81.0,56.0,82.0,36.0
92.0,59.0,82.0,55.0,82.0,36.0
92.0,59.0,82.0,55.0,82.0,36.0
92.0,59.0,82.0,55.0,82.0,36.0
92.0,59.0,82.0,55.0,82.0,37.0
92.0,59.0,82.0,54.0,82.0,37.0
92.0,58.0,82.0,54.0,82.0,37.0
92.0,57.0,82.0,54.0,82.0,37.0
92.0,57.0,82.0,54.0,82.0,37.0
92.0,57.0,82.0,54.0,82.0,37.0
92.0,57.0,82.0,53.0,83.0,38.0
92.0,57.0,82.0,53.0,83.0,38.0
92.0,57.0,82.0,53.0,83.0,38.0
92.0,56.0,82.0,53.0,83.0,38.0
92.0,56.0,82.0,53.0,83.0,38.0
92.0,55.0,82.0,53.0,83.0,38.0
92.0,55.0,82.0,52.0,83.0,38.0
92.0,55.0,82.0,52.0,84.0,40.0
92.0,55.0,82.0,52.0,84.0,40.0
92.0,55.0,82.0,52.0,84.0,40.0
92.0,55.0,82.0,52.0,84.0,40.0
92.0,54.0,81.0,51.0,84.0,40.0
92.0,54.0,81.0,51.0,84.0,40.0
92.0,53.0,81.0,51.0,84.0,40.0
92.0,53.0,81.0,51.0,84.0,41.0
92.0,53.0,81.0,51.0,84.0,41.0
92.0,53.0,81.0,51.0,84.0,41.0
92.0,53.0,81.0,51.0,84.0,41.0
92.0,52.0,81.0,49.0,84.0,41.0
92.0,52.0,81.0,49.0,84.0,41.0
92.0,51.0,81.0,49.0,85.0,43.0
92.0,51.0,81.0,49.0,85.0,43.0
92.0,51.0,81.0,49.0,85.0,43.0
92.0,51.0,81.0,49.0,85.0,43.0
92.0,51.0,81.0,48.0,85.0,43.0
92.0,51.0,81.0,48.0,85.0,43.0
92.0,51.0,81.0,48.0,85.0,43.0
92.0,49.0,81.0,48.0,85.0,44.0
92.0,49.0,81.0,48.0,85.0,44.0
92.0,49.0,81.0,48.0,85.0,44.0
92.0,49.0,81.0,48.0,85.0,44.0
92.0,49.0,81.0,47.0,85.0,44.0
92.0,49.0,81.0,47.0,85.0,44.0
92.0,47.0,81.0,47.0,86.0,45.0
92.0,47.0,81.0,47.0,86.0,45.0
92.0,47.0,81.0,47.0,86.0,45.0
92.0,47.0,81.0,47.0,86.0,45.0
92.0,47.0,80.0,46.0,86.0,45.0
92.0,47.0,80.0,46.0,86.0,45.0
92.0,47.0,80.0,46.0,86.0,45.0
91.0,46.0,80.0,46.0,86.0,47.0
91.0,46.0,80.0,46.0,86.0,47.0
91.0,46.0,80.0,46.0,86.0,47.0
91.0,46.0,80.0,46.0,86.0,47.0
91.0,46.0,80.0,44.0,86.0,47.0
91.0,46.0,80.0,44.0,86.0,47.0
91.0,44.0,80.0,44.0,86.0,48.0
91.0,44.0,80.0,44.0,86.0,48.0
91.0,44.0,80.0,44.0,86.0,48.0
91.0,44.0,80.0,44.0,86.0,48.0
91.0,44.0,80.0,44.0,86.0,48.0
91.0,44.0,79.0,43.0,86.0,48.0
91.0,44.0,79.0,43.0,86.0,48.0
90.0,42.0,79.0,43.0,87.0,50.0
90.0,42.0,79.0,43.0,87.0,50.0
90.0,42.0,79.0,43.0,87.0,50.0
90.0,42.0,79.0,43.0,87.0,50.0
90.0,42.0,79.0,43.0,87.0,50.0
90.0,42.0,79.0,42.0,87.0,50.0
90.0,41.0,79.0,42.0,87.0,51.0
90.0,41.0,79.0,42.0,87.0,51.0
90.0,41.0,79.0,42.0,87.0,51.0
90.0,41.0,79.0,42.0,87.0,51.0
90.0,41.0,79.0,42.0,87.0,51.0
90.0,41.0,79.0,42.0,87.0,51.0
89.0,39.0,78.0,40.0,87.0,51.0
89.0,39.0,78.0,40.0,87.0,53.0
89.0,39.0,78.0,40.0,87.0,53.0
89.0,39.0,78.0,40.0,87.0,53.0
89.0,39.0,78.0,40.0,87.0,53.0
89.0,39.0,78.0,40.0,87.0,53.0
89.0,39.0,78.0,40.0,87.0,53.0
89.0,38.0,78.0,39.0,87.0,54.0
89.0,38.0,78.0,39.0,87.0,54.0
89.0,38.0,78.0,39.0,87.0,54.0
89.0,38.0,78.0,39.0,87.0,54.0
89.0,38.0,78.0,39.0,87.0,54.0
89.0,38.0,78.0,39.0,87.0,54.0
88.0,36.0,78.0,39.0,87.0,54.0
88.0,36.0,77.0,38.0,87.0,56.0
88.0,36.0,77.0,38.0,87.0,56.0
88.0,36.0,77.0,38.0,87.0,56.0
88.0,36.0,77.0,38.0,87.0,56.0
88.0,36.0,77.0,38.0,87.0,56.0
87.0,35.0,77.0,38.0,87.0,56.0
87.0,35.0,77.0,38.0,87.0,57.0
87.0,35.0,76.0,37.0,87.0,57.0
87.0,35.0,76.0,37.0,87.0,57.0
87.0,35.0,76.0,37.0,87.0,57.0
87.0,35.0,76.0,37.0,87.0,57.0
87.0,33.0,76.0,37.0,87.0,57.0
87.0,33.0,76.0,37.0,87.0,57.0
87.0,33.0,76.0,37.0,86.0,59.0
87.0,33.0,76.0,35.0,86.0,59.0
87.0,33.0,76.0,35.0,86.0,59.0
87.0,33.0,76.0,35.0,86.0,59.0
86.0,32.0,76.0,35.0,86.0,59.0
86.0,32.0,76.0,35.0,86.0,59.0
86.0,32.0,76.0,35.0,85.0,60.0
86.0,32.0,76.0,35.0,85.0,60.0
86.0,32.0,76.0,35.0,85.0,60.0
86.0,32.0,75.0,34.0,85.0,60.0
85.0,30.0,75.0,34.0,85.0,60.0
85.0,30.0,75.0,34.0,85.0,60.0
85.0,30.0,75.0,34.0,85.0,60.0
85.0,30.0,75.0,34.0,84.0,61.0
85.0,30.0,75.0,34.0,84.0,61.0
85.0,30.0,75.0,34.0,84.0,61.0
84.0,29.0,74.0,33.0,84.0,61.0
84.0,29.0,74.0,33.0,84.0,61.0
84.0,29.0,74.0,33.0,84.0,61.0
